Gene,Non-unique Gene name,Annotation,GCF_000007545.1_ASM754v1_genomic,GCF_000020745.1_ASM2074v1_genomic,GCF_000020885.1_ASM2088v1_genomic,GCF_000020925.1_ASM2092v1_genomic,GCF_000022165.1_ASM2216v1_genomic,GCF_000170215.1_ASM17021v1_genomic,GCF_000170255.1_ASM17025v1_genomic,GCF_000171255.1_ASM17125v1_genomic,GCF_000171275.1_ASM17127v1_genomic,GCF_000171315.1_ASM17131v1_genomic,GCF_000171415.1_ASM17141v1_genomic,GCF_000171515.1_ASM17151v1_genomic,GCF_000171535.2_ASM17153v2_genomic
group_859,,Outer membrane protein,GEGEGB_00471,LNHIMF_02563,BEJGEH_02451,HFCAGB_02697,AJBGEP_02598,ODDLKH_02933,OEKLIE_03066,ALJMDI_01734,PAPNPA_02022,BENMGJ_01672,IKCLMC_01357,PKJKAM_02842,ONMMKP_04418
cysZ,cysZ,sulfate transporter CysZ,GEGEGB_00465,LNHIMF_02569,BEJGEH_02457,HFCAGB_02703,AJBGEP_02604,ODDLKH_02939,OEKLIE_03072,ALJMDI_01728,PAPNPA_02028,BENMGJ_01678,IKCLMC_01351,PKJKAM_02836,ONMMKP_04412
miaE,miaE,tRNA isopentenyl-2-thiomethyl-A-37 hydroxylase MiaE,GEGEGB_04752,LNHIMF_04548,BEJGEH_04546,HFCAGB_04688,AJBGEP_04683,ODDLKH_00340,OEKLIE_03553,ALJMDI_03899,PAPNPA_01438,BENMGJ_01138,IKCLMC_03359,PKJKAM_02233,ONMMKP_02320
ygbI,ygbI,DNA-binding transcriptional repressor YgbI,GEGEGB_02963,LNHIMF_02956,BEJGEH_02914,HFCAGB_03129,AJBGEP_03085,ODDLKH_03345,OEKLIE_01966,ALJMDI_02692,PAPNPA_03020,BENMGJ_02149,IKCLMC_03947,PKJKAM_02457,ONMMKP_03951
pgpB,pgpB,phosphatidylglycerophosphatase B,GEGEGB_01715,LNHIMF_01778,BEJGEH_01358,HFCAGB_01570,AJBGEP_01801,ODDLKH_02199,OEKLIE_01466,ALJMDI_03538,PAPNPA_04070,BENMGJ_03609,IKCLMC_04459,PKJKAM_04470,ONMMKP_00329
phsC,phsC,thiosulfate reductase cytochrome B subunit,GEGEGB_00864,LNHIMF_02144,BEJGEH_02081,HFCAGB_02323,AJBGEP_02224,ODDLKH_02558,OEKLIE_03689,ALJMDI_01808,PAPNPA_04178,BENMGJ_02422,IKCLMC_01945,PKJKAM_04097,ONMMKP_04781
pdhR,pdhR,pyruvate dehydrogenase complex transcriptional repressor PdhR,GEGEGB_00166,LNHIMF_00157,BEJGEH_00163,HFCAGB_00158,AJBGEP_00159,ODDLKH_00633,OEKLIE_04745,ALJMDI_04183,PAPNPA_03648,BENMGJ_01556,IKCLMC_03051,PKJKAM_00767,ONMMKP_02023
livG,livG,high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG,GEGEGB_04187,LNHIMF_03604,BEJGEH_03598,HFCAGB_03802,AJBGEP_03751,ODDLKH_04010,OEKLIE_03934,ALJMDI_02501,PAPNPA_01644,BENMGJ_02919,IKCLMC_02828,PKJKAM_03806,ONMMKP_03284
tpiA,tpiA,triose-phosphate isomerase,GEGEGB_03732,LNHIMF_04135,BEJGEH_04145,HFCAGB_04334,AJBGEP_04293,ODDLKH_04541,OEKLIE_03285,ALJMDI_00994,PAPNPA_01335,BENMGJ_00964,IKCLMC_00727,PKJKAM_01402,ONMMKP_02704
hycG,hycG,formate hydrogenlyase subunit HycG,GEGEGB_02895,LNHIMF_02886,BEJGEH_02838,HFCAGB_03056,AJBGEP_03012,ODDLKH_03272,OEKLIE_01103,ALJMDI_02621,PAPNPA_02945,BENMGJ_02075,IKCLMC_04020,PKJKAM_02533,ONMMKP_04026
trmD,trmD,tRNA (guanosine(37)-N1)-methyltransferase TrmD,GEGEGB_02769,LNHIMF_02764,BEJGEH_02695,HFCAGB_02907,AJBGEP_02874,ODDLKH_03136,OEKLIE_02504,ALJMDI_01501,PAPNPA_00280,BENMGJ_00539,IKCLMC_04135,PKJKAM_02634,ONMMKP_04212
group_851,,amidohydrolase,GEGEGB_02681,LNHIMF_00334,BEJGEH_00317,HFCAGB_00326,AJBGEP_00327,ODDLKH_00797,OEKLIE_01823,ALJMDI_04309,PAPNPA_01881,BENMGJ_03906,IKCLMC_02070,PKJKAM_03437,ONMMKP_01853
yafJ,yafJ,Amidotransferase,GEGEGB_02678,LNHIMF_00337,BEJGEH_00320,HFCAGB_00329,AJBGEP_00330,ODDLKH_00800,OEKLIE_01826,ALJMDI_04312,PAPNPA_01884,BENMGJ_03909,IKCLMC_02073,PKJKAM_03434,ONMMKP_01850
group_850,,Hydrogenase,GEGEGB_02375,LNHIMF_00757,BEJGEH_00622,HFCAGB_00704,AJBGEP_00637,ODDLKH_01104,OEKLIE_04236,ALJMDI_00715,PAPNPA_02641,BENMGJ_04279,IKCLMC_02435,PKJKAM_03070,ONMMKP_01542
deoR,deoR,Transcriptional regulator DeoR,GEGEGB_00180,LNHIMF_00171,BEJGEH_00184,HFCAGB_00174,AJBGEP_00175,ODDLKH_00648,OEKLIE_04761,ALJMDI_04197,PAPNPA_03669,BENMGJ_01534,IKCLMC_03035,PKJKAM_00751,ONMMKP_02007
group_849,,VTT domain-containing protein,GEGEGB_00114,LNHIMF_00107,BEJGEH_00111,HFCAGB_00105,AJBGEP_00109,ODDLKH_00583,OEKLIE_04695,ALJMDI_04132,PAPNPA_03596,BENMGJ_01606,IKCLMC_03102,PKJKAM_01998,ONMMKP_02076
bioH,bioH,pimeloyl-ACP methyl ester esterase BioH,GEGEGB_04226,LNHIMF_03562,BEJGEH_03543,HFCAGB_03745,AJBGEP_03695,ODDLKH_03955,OEKLIE_03878,ALJMDI_02543,PAPNPA_01589,BENMGJ_02863,IKCLMC_02883,PKJKAM_03851,ONMMKP_03329
garL,garL,2-dehydro-3-deoxyglucarate aldolase,GEGEGB_03339,LNHIMF_03304,BEJGEH_03278,HFCAGB_03482,AJBGEP_03430,ODDLKH_03688,OEKLIE_04343,ALJMDI_03027,PAPNPA_02371,BENMGJ_01972,IKCLMC_03602,PKJKAM_01780,ONMMKP_03585
ybbO,ybbO,SDR family oxidoreductase,GEGEGB_02482,LNHIMF_00532,BEJGEH_00518,HFCAGB_00532,AJBGEP_00527,ODDLKH_00995,OEKLIE_04126,ALJMDI_00631,PAPNPA_02529,BENMGJ_04168,IKCLMC_02270,PKJKAM_03234,ONMMKP_01650
ybfF,ybfF,esterase,GEGEGB_02299,LNHIMF_00837,BEJGEH_00709,HFCAGB_00792,AJBGEP_00721,ODDLKH_01190,OEKLIE_02090,7_refound_263,PAPNPA_03190,BENMGJ_04364,IKCLMC_00435,PKJKAM_00395,ONMMKP_01460
yadH,yadH,Transport permease protein,GEGEGB_00189,LNHIMF_00180,BEJGEH_00193,HFCAGB_00183,AJBGEP_00184,ODDLKH_00657,OEKLIE_04770,ALJMDI_04206,PAPNPA_03678,BENMGJ_01525,IKCLMC_03026,PKJKAM_00742,ONMMKP_01998
fixA,fixA,Protein FixA,GEGEGB_00079,LNHIMF_00077,BEJGEH_00078,HFCAGB_00078,AJBGEP_00079,ODDLKH_00553,OEKLIE_04664,ALJMDI_04100,PAPNPA_03567,BENMGJ_01636,IKCLMC_03133,PKJKAM_02028,ONMMKP_02106
pstB,pstB,phosphate ABC transporter ATP-binding protein PstB,GEGEGB_03876,LNHIMF_03904,BEJGEH_03905,HFCAGB_04103,AJBGEP_04059,ODDLKH_04309,OEKLIE_00057,ALJMDI_02200,PAPNPA_00086,BENMGJ_03220,IKCLMC_02533,PKJKAM_03509,ONMMKP_02930
nudC,nudC,NAD(+) diphosphatase,GEGEGB_03651,LNHIMF_04212,BEJGEH_04225,HFCAGB_04423,AJBGEP_04378,ODDLKH_00024,OEKLIE_00381,ALJMDI_00075,PAPNPA_00099,BENMGJ_00172,IKCLMC_00237,PKJKAM_00211,ONMMKP_02623
group_844,glpR,Transcriptional regulator,GEGEGB_03353,LNHIMF_03312,BEJGEH_03286,HFCAGB_03490,AJBGEP_03438,ODDLKH_03701,OEKLIE_04335,ALJMDI_03040,PAPNPA_02379,BENMGJ_01980,IKCLMC_03589,PKJKAM_01767,ONMMKP_03577
zupT,zupT,zinc transporter ZupT,GEGEGB_03272,LNHIMF_03240,BEJGEH_03213,HFCAGB_03420,AJBGEP_03368,ODDLKH_03626,OEKLIE_04405,ALJMDI_02965,PAPNPA_02308,BENMGJ_01910,IKCLMC_03664,PKJKAM_01882,ONMMKP_03647
srlR,srlR,glucitol operon DNA-binding transcriptional repressor SrlR,GEGEGB_02885,LNHIMF_02876,BEJGEH_02828,HFCAGB_03046,AJBGEP_03002,ODDLKH_03262,OEKLIE_01093,ALJMDI_02611,PAPNPA_02935,BENMGJ_02065,IKCLMC_04030,PKJKAM_02543,ONMMKP_04036
modA,modA,molybdate ABC transporter substrate-binding protein,GEGEGB_02222,LNHIMF_00913,BEJGEH_00782,HFCAGB_00862,AJBGEP_00806,ODDLKH_01275,OEKLIE_00871,ALJMDI_01118,PAPNPA_03262,BENMGJ_04449,IKCLMC_01376,PKJKAM_01113,ONMMKP_01375
cbiF,cbiF,cobalt-precorrin-4 methyltransferase,GEGEGB_00899,LNHIMF_02109,BEJGEH_02046,HFCAGB_02288,AJBGEP_02189,ODDLKH_02523,OEKLIE_03654,ALJMDI_01773,PAPNPA_04143,BENMGJ_02387,IKCLMC_01981,PKJKAM_04132,ONMMKP_04817
hisP,hisP,histidine ABC transporter ATP-binding protein HisP,GEGEGB_00555,LNHIMF_02488,BEJGEH_02376,HFCAGB_02614,AJBGEP_02522,ODDLKH_02857,OEKLIE_02006,ALJMDI_02092,PAPNPA_04479,BENMGJ_02718,IKCLMC_01646,PKJKAM_02919,ONMMKP_04494
yaaA,yaaA,peroxide stress protein YaaA,GEGEGB_00005,LNHIMF_00005,BEJGEH_00005,HFCAGB_00005,AJBGEP_00005,ODDLKH_00481,OEKLIE_04591,ALJMDI_04029,PAPNPA_03496,BENMGJ_00722,IKCLMC_03204,PKJKAM_02101,ONMMKP_02176
group_842,,DUF4311 domain-containing protein,GEGEGB_04723,LNHIMF_04520,BEJGEH_04518,HFCAGB_04660,AJBGEP_04653,ODDLKH_00312,OEKLIE_03523,ALJMDI_03871,PAPNPA_01411,BENMGJ_01168,IKCLMC_03386,PKJKAM_02261,ONMMKP_02348
argB,argB,acetylglutamate kinase,GEGEGB_03693,LNHIMF_04170,BEJGEH_04182,HFCAGB_04380,AJBGEP_04335,ODDLKH_04583,OEKLIE_03327,ALJMDI_01035,PAPNPA_01373,BENMGJ_00927,IKCLMC_00769,PKJKAM_01360,ONMMKP_02665
elyC,elyC,envelope biogenesis factor ElyC,GEGEGB_02053,LNHIMF_01079,BEJGEH_00947,HFCAGB_01035,AJBGEP_00982,ODDLKH_01447,OEKLIE_00400,ALJMDI_01290,PAPNPA_00885,BENMGJ_01206,IKCLMC_01555,PKJKAM_00941,ONMMKP_01157
group_840,hisF,Imidazole glycerol phosphate synthase subunit HisF,GEGEGB_00845,LNHIMF_02220,BEJGEH_02098,HFCAGB_02340,AJBGEP_02241,ODDLKH_02575,OEKLIE_03706,ALJMDI_01825,PAPNPA_04195,BENMGJ_02439,IKCLMC_01927,PKJKAM_04080,ONMMKP_04763
group_837,,ABC transporter ATP-binding protein,GEGEGB_02232,LNHIMF_00903,BEJGEH_00772,HFCAGB_00852,AJBGEP_00796,ODDLKH_01265,OEKLIE_00861,ALJMDI_01108,PAPNPA_03252,BENMGJ_04439,IKCLMC_01366,PKJKAM_01123,ONMMKP_01385
deoC,deoC,deoxyribose-phosphate aldolase,GEGEGB_04868,LNHIMF_04634,BEJGEH_04669,HFCAGB_04806,AJBGEP_04784,ODDLKH_00443,OEKLIE_04553,ALJMDI_03991,PAPNPA_03458,BENMGJ_00761,IKCLMC_03242,PKJKAM_02139,ONMMKP_02214
hofM,hofM,DNA utilization protein HofM,GEGEGB_04243,LNHIMF_03545,BEJGEH_03525,HFCAGB_03728,AJBGEP_03678,ODDLKH_03938,OEKLIE_03861,ALJMDI_02560,PAPNPA_01572,BENMGJ_02846,IKCLMC_02900,PKJKAM_03870,ONMMKP_03346
yihY,yihY,virulence factor BrkB family protein,GEGEGB_03790,LNHIMF_04079,BEJGEH_04086,HFCAGB_04278,AJBGEP_04237,ODDLKH_04485,OEKLIE_03191,ALJMDI_00938,PAPNPA_01275,BENMGJ_01021,IKCLMC_00671,PKJKAM_01458,ONMMKP_02760
tatC,tatC,Sec-independent protein translocase subunit TatC,GEGEGB_03505,LNHIMF_04024,BEJGEH_04030,HFCAGB_04223,AJBGEP_04182,ODDLKH_04430,OEKLIE_01343,ALJMDI_00883,PAPNPA_00556,BENMGJ_00607,IKCLMC_00464,PKJKAM_01509,ONMMKP_02811
srlD,srlD,sorbitol-6-phosphate dehydrogenase,GEGEGB_02883,LNHIMF_02874,BEJGEH_02826,HFCAGB_03044,AJBGEP_03000,ODDLKH_03260,OEKLIE_01091,ALJMDI_02609,PAPNPA_02933,BENMGJ_00042,IKCLMC_04032,PKJKAM_02545,ONMMKP_04038
fetB,fetB,iron efflux ABC transporter permease subunit FetB,GEGEGB_02484,LNHIMF_00530,BEJGEH_00516,HFCAGB_00530,AJBGEP_00525,ODDLKH_00993,OEKLIE_04124,ALJMDI_00629,PAPNPA_02527,BENMGJ_04166,IKCLMC_02268,PKJKAM_03236,ONMMKP_01652
potC,potC,spermidine/putrescine ABC transporter permease PotC,GEGEGB_01796,LNHIMF_01265,BEJGEH_01871,HFCAGB_02075,AJBGEP_01224,ODDLKH_01630,OEKLIE_03032,ALJMDI_00507,PAPNPA_01115,BENMGJ_00801,IKCLMC_00869,PKJKAM_00526,ONMMKP_00914
ssaT,ssaT,SPI-2 type III secretion system apparatus protein SsaT,GEGEGB_01368,LNHIMF_01472,BEJGEH_01665,HFCAGB_01861,AJBGEP_01502,ODDLKH_01902,OEKLIE_00328,ALJMDI_03232,PAPNPA_00870,BENMGJ_03311,IKCLMC_04754,PKJKAM_00795,ONMMKP_00629
nanR,nanR,transcriptional regulator NanR,GEGEGB_03433,LNHIMF_03392,BEJGEH_03369,HFCAGB_03573,AJBGEP_03522,ODDLKH_03783,OEKLIE_00802,ALJMDI_00149,PAPNPA_02463,BENMGJ_02060,IKCLMC_03509,PKJKAM_01686,ONMMKP_03498
mlaE,mlaE,lipid asymmetry maintenance ABC transporter permease subunit MlaE,GEGEGB_03403,LNHIMF_03362,BEJGEH_03339,HFCAGB_03543,AJBGEP_03493,ODDLKH_03754,OEKLIE_00773,ALJMDI_00178,PAPNPA_02432,BENMGJ_02031,IKCLMC_03538,PKJKAM_01715,ONMMKP_03527
flgG,flgG,flagellar basal-body rod protein FlgG,GEGEGB_01843,LNHIMF_01214,BEJGEH_01915,HFCAGB_02121,AJBGEP_01179,ODDLKH_01585,OEKLIE_01236,ALJMDI_00456,PAPNPA_00402,BENMGJ_00515,IKCLMC_00824,PKJKAM_00564,ONMMKP_00959
hisJ,hisJ,histidine ABC transporter substrate-binding protein HisJ,GEGEGB_00552,LNHIMF_02491,BEJGEH_02379,HFCAGB_02617,AJBGEP_02525,ODDLKH_02860,OEKLIE_02009,ALJMDI_02095,PAPNPA_04482,BENMGJ_02721,IKCLMC_01643,PKJKAM_02916,ONMMKP_04491
argT,argT,lysine/arginine/ornithine ABC transporter substrate-binding protein ArgT,GEGEGB_00551,LNHIMF_02492,BEJGEH_02380,HFCAGB_02618,AJBGEP_02526,ODDLKH_02861,OEKLIE_02010,ALJMDI_02096,PAPNPA_04483,BENMGJ_02722,IKCLMC_01642,PKJKAM_02915,ONMMKP_04490
sseB,sseB,enhanced serine sensitivity protein SseB,GEGEGB_00348,LNHIMF_02674,BEJGEH_02569,HFCAGB_02817,AJBGEP_02714,ODDLKH_03046,OEKLIE_02309,ALJMDI_01617,PAPNPA_02153,BENMGJ_01784,IKCLMC_01243,PKJKAM_02727,ONMMKP_04302
group_831,,HTH deoR-type domain-containing protein,GEGEGB_03935,LNHIMF_03846,BEJGEH_03848,HFCAGB_04044,AJBGEP_03993,ODDLKH_04250,OEKLIE_02642,ALJMDI_02257,PAPNPA_01042,BENMGJ_03160,IKCLMC_02597,PKJKAM_03568,ONMMKP_03045
group_830,,DUF1264 domain-containing protein,GEGEGB_01560,LNHIMF_01621,BEJGEH_01517,HFCAGB_01724,AJBGEP_01648,ODDLKH_02048,OEKLIE_02198,ALJMDI_03380,PAPNPA_03913,BENMGJ_03457,IKCLMC_04611,PKJKAM_04623,ONMMKP_00485
znuB,znuB,zinc ABC transporter permease subunit ZnuB,GEGEGB_01052,LNHIMF_01969,BEJGEH_01172,HFCAGB_01323,AJBGEP_01991,ODDLKH_02387,OEKLIE_01030,ALJMDI_00254,PAPNPA_00459,BENMGJ_03799,IKCLMC_04258,PKJKAM_04270,ONMMKP_00137
caiD,caiD,crotonobetainyl-CoA hydratase,GEGEGB_00074,LNHIMF_00072,BEJGEH_00073,HFCAGB_00073,AJBGEP_00074,ODDLKH_00548,OEKLIE_04659,ALJMDI_04095,PAPNPA_03562,BENMGJ_01641,IKCLMC_03138,PKJKAM_02033,ONMMKP_02111
ygiD,ygiD,45-DOPA dioxygenase extradiol,GEGEGB_03271,LNHIMF_03239,BEJGEH_03212,HFCAGB_03419,AJBGEP_03367,ODDLKH_03625,OEKLIE_04406,ALJMDI_02964,PAPNPA_02307,BENMGJ_01909,IKCLMC_03665,PKJKAM_01883,ONMMKP_03648
cpoB,cpoB,cell division protein CpoB,GEGEGB_02242,LNHIMF_00891,BEJGEH_00751,HFCAGB_00832,AJBGEP_00775,ODDLKH_01244,OEKLIE_00048,ALJMDI_01096,PAPNPA_03233,BENMGJ_04418,IKCLMC_00381,PKJKAM_00437,ONMMKP_01406
modE,modE,molybdenum-dependent transcriptional regulator,GEGEGB_02224,LNHIMF_00911,BEJGEH_00780,HFCAGB_00860,AJBGEP_00804,ODDLKH_01273,OEKLIE_00869,ALJMDI_01116,PAPNPA_03260,BENMGJ_04447,IKCLMC_01374,PKJKAM_01115,ONMMKP_01377
phoH,phoH,phosphate starvation-inducible protein PhoH,GEGEGB_01899,LNHIMF_01158,BEJGEH_01028,HFCAGB_01173,AJBGEP_01123,ODDLKH_01529,OEKLIE_00229,ALJMDI_00400,PAPNPA_00967,BENMGJ_01347,IKCLMC_00621,PKJKAM_00621,ONMMKP_01014
fabI,fabI,enoyl-ACP reductase FabI,GEGEGB_01704,LNHIMF_01767,BEJGEH_01369,HFCAGB_01581,AJBGEP_01790,ODDLKH_02188,OEKLIE_01455,ALJMDI_03527,PAPNPA_04058,BENMGJ_03598,IKCLMC_04470,PKJKAM_04482,ONMMKP_00340
lpxA,lpxA,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,GEGEGB_00244,LNHIMF_00238,BEJGEH_00252,HFCAGB_00242,AJBGEP_00242,ODDLKH_00715,OEKLIE_04828,ALJMDI_04264,PAPNPA_03742,BENMGJ_00274,IKCLMC_02968,PKJKAM_00145,ONMMKP_01934
spaR,spaR,SPI-1 type III secretion system export apparatus protein SpaR,GEGEGB_02935,LNHIMF_02928,BEJGEH_02880,HFCAGB_03098,AJBGEP_03054,ODDLKH_03314,OEKLIE_01935,ALJMDI_02664,PAPNPA_02987,BENMGJ_02118,IKCLMC_03978,PKJKAM_02491,ONMMKP_03982
group_826,,Cytochrome c assembly protein domain-containing protein,GEGEGB_02773,LNHIMF_02768,BEJGEH_02699,HFCAGB_02911,AJBGEP_02878,ODDLKH_03140,OEKLIE_02508,ALJMDI_01497,PAPNPA_00285,BENMGJ_00543,IKCLMC_04131,PKJKAM_02630,ONMMKP_04208
hpaI,hpaI,4-hydroxy-2-oxoheptanedioate aldolase,GEGEGB_01919,LNHIMF_01138,BEJGEH_01009,HFCAGB_01153,AJBGEP_01103,ODDLKH_01509,OEKLIE_01545,ALJMDI_00380,PAPNPA_00947,BENMGJ_01328,IKCLMC_00601,PKJKAM_00643,ONMMKP_01035
group_825,,Regulatory protein,GEGEGB_01613,LNHIMF_01679,BEJGEH_01458,HFCAGB_01667,AJBGEP_01705,ODDLKH_02105,OEKLIE_02255,ALJMDI_03440,PAPNPA_03969,BENMGJ_03514,IKCLMC_04554,PKJKAM_04566,ONMMKP_00428
kdgR,kdgR,DNA-binding transcriptional regulator KdgR,GEGEGB_01104,LNHIMF_01912,BEJGEH_01224,HFCAGB_01436,AJBGEP_01935,ODDLKH_02332,OEKLIE_01366,ALJMDI_00197,PAPNPA_00204,BENMGJ_03741,IKCLMC_04325,PKJKAM_04337,ONMMKP_00196
ucpA,ucpA,SDR family oxidoreductase UcpA,GEGEGB_00450,LNHIMF_02584,BEJGEH_02473,HFCAGB_02719,AJBGEP_02620,ODDLKH_02954,OEKLIE_03088,ALJMDI_01713,PAPNPA_02043,BENMGJ_01694,IKCLMC_01335,PKJKAM_02821,ONMMKP_04396
group_824,,Secreted protein,GEGEGB_00173,LNHIMF_00164,BEJGEH_00170,HFCAGB_00165,AJBGEP_00166,ODDLKH_00640,OEKLIE_04752,ALJMDI_04190,PAPNPA_03655,BENMGJ_01549,IKCLMC_03044,PKJKAM_00761,ONMMKP_02016
tatD,tatD,3'-5' ssDNA/RNA exonuclease TatD,GEGEGB_03504,LNHIMF_04025,BEJGEH_04031,HFCAGB_04224,AJBGEP_04183,ODDLKH_04431,OEKLIE_01344,ALJMDI_00884,PAPNPA_00557,BENMGJ_00608,IKCLMC_00463,PKJKAM_01508,ONMMKP_02810
thyA,thyA,thymidylate synthase,GEGEGB_03060,LNHIMF_03042,BEJGEH_03009,HFCAGB_03221,AJBGEP_03170,ODDLKH_03431,OEKLIE_01701,ALJMDI_02769,PAPNPA_03112,BENMGJ_02244,IKCLMC_03862,PKJKAM_02367,ONMMKP_03860
fepC,fepC,ferrienterobactin ABC transporter ATPase,GEGEGB_02401,LNHIMF_00733,BEJGEH_00598,HFCAGB_00678,AJBGEP_00613,ODDLKH_01080,OEKLIE_04212,ALJMDI_00691,PAPNPA_02617,BENMGJ_04255,IKCLMC_02411,PKJKAM_03094,ONMMKP_01566
fliR,fliR,flagellar biosynthetic protein FliR,GEGEGB_00965,LNHIMF_02056,BEJGEH_01086,HFCAGB_01236,AJBGEP_02081,ODDLKH_02474,OEKLIE_01605,ALJMDI_00342,PAPNPA_00335,BENMGJ_00448,IKCLMC_04171,PKJKAM_04182,ONMMKP_00049
pduF,pduF,propanediol diffusion facilitator PduF,GEGEGB_00890,LNHIMF_02118,BEJGEH_02055,HFCAGB_02297,AJBGEP_02198,ODDLKH_02532,OEKLIE_03663,ALJMDI_01782,PAPNPA_04152,BENMGJ_02396,IKCLMC_01972,PKJKAM_04123,ONMMKP_04807
map,map,type I methionyl aminopeptidase,GEGEGB_00229,LNHIMF_00223,BEJGEH_00237,HFCAGB_00227,AJBGEP_00227,ODDLKH_00700,OEKLIE_04813,ALJMDI_04249,PAPNPA_03727,BENMGJ_00209,IKCLMC_02983,PKJKAM_00692,ONMMKP_01949
speD,speD,adenosylmethionine decarboxylase,GEGEGB_00181,LNHIMF_00172,BEJGEH_00185,HFCAGB_00175,AJBGEP_00176,ODDLKH_00649,OEKLIE_04762,ALJMDI_04198,PAPNPA_03670,BENMGJ_01533,IKCLMC_03034,PKJKAM_00750,ONMMKP_02006
phnV,phnV,2-aminoethylphosphonate ABC transport system membrane component PhnV,GEGEGB_02570,LNHIMF_00452,BEJGEH_00434,HFCAGB_00450,AJBGEP_00446,ODDLKH_00914,OEKLIE_02779,ALJMDI_04425,PAPNPA_02000,BENMGJ_04086,IKCLMC_02188,PKJKAM_03316,ONMMKP_01731
pflA,pflA,pyruvate formate lyase 1-activating protein,GEGEGB_02075,LNHIMF_01059,BEJGEH_00928,HFCAGB_01015,AJBGEP_00962,ODDLKH_01427,OEKLIE_00610,ALJMDI_01270,PAPNPA_03436,BENMGJ_04602,IKCLMC_01535,PKJKAM_00961,ONMMKP_01177
ycfH,ycfH,metal-dependent hydrolase,GEGEGB_01819,LNHIMF_01244,BEJGEH_01892,HFCAGB_02096,AJBGEP_01203,ODDLKH_01609,OEKLIE_03053,ALJMDI_00486,PAPNPA_01094,BENMGJ_00779,IKCLMC_00848,PKJKAM_00547,ONMMKP_00935
fhuC,fhuC,Fe3+-hydroxamate ABC transporter ATP-binding protein FhuC,GEGEGB_00212,LNHIMF_00206,BEJGEH_00212,HFCAGB_00202,AJBGEP_00203,ODDLKH_00676,OEKLIE_04789,ALJMDI_04232,PAPNPA_03704,BENMGJ_01499,IKCLMC_03007,PKJKAM_00716,ONMMKP_01972
yiaJ,yiaJ,IclR family transcriptional regulator YiaJ,GEGEGB_04073,LNHIMF_03709,BEJGEH_03709,HFCAGB_03914,AJBGEP_03862,ODDLKH_04120,OEKLIE_04045,ALJMDI_02392,PAPNPA_01750,BENMGJ_03029,IKCLMC_02717,PKJKAM_03695,ONMMKP_03173
yigL,yigL,sugar/pyridoxal phosphate phosphatase YigL,GEGEGB_03519,LNHIMF_04010,BEJGEH_04016,HFCAGB_04209,AJBGEP_04168,ODDLKH_04416,OEKLIE_01329,ALJMDI_00869,PAPNPA_00542,BENMGJ_00593,IKCLMC_00478,PKJKAM_01523,ONMMKP_02825
mazG,mazG,nucleoside triphosphate pyrophosphohydrolase,GEGEGB_02999,LNHIMF_02992,BEJGEH_02952,HFCAGB_03165,AJBGEP_03120,ODDLKH_03380,OEKLIE_01651,ALJMDI_02719,PAPNPA_03055,BENMGJ_02184,IKCLMC_03912,PKJKAM_02422,ONMMKP_03915
yafD,yafD,endonuclease/exonuclease/phosphatase family protein,GEGEGB_02745,LNHIMF_00270,BEJGEH_00283,HFCAGB_00273,AJBGEP_00273,ODDLKH_00746,OEKLIE_00262,ALJMDI_04295,PAPNPA_01815,BENMGJ_03853,IKCLMC_02007,PKJKAM_03496,ONMMKP_01905
nagB,nagB,glucosamine-6-phosphate deaminase,GEGEGB_02311,LNHIMF_00824,BEJGEH_00697,HFCAGB_00779,AJBGEP_00709,ODDLKH_01178,OEKLIE_02078,ALJMDI_00781,PAPNPA_03177,BENMGJ_04352,IKCLMC_00447,PKJKAM_00341,ONMMKP_01472
group_815,,DUF218 domain-containing protein,GEGEGB_01631,LNHIMF_01702,BEJGEH_01430,HFCAGB_01641,AJBGEP_01729,ODDLKH_02129,OEKLIE_02279,ALJMDI_03463,PAPNPA_03995,BENMGJ_03538,IKCLMC_04530,PKJKAM_04542,ONMMKP_00400
manY,manY,PTS mannose transporter subunit IIC,GEGEGB_01114,LNHIMF_01902,BEJGEH_01234,HFCAGB_01446,AJBGEP_01925,ODDLKH_02322,OEKLIE_01356,ALJMDI_00051,PAPNPA_00214,BENMGJ_03731,IKCLMC_04335,PKJKAM_04347,ONMMKP_00206
tcyJ,tcyJ,cystine ABC transporter substrate-binding protein,GEGEGB_00992,LNHIMF_02031,BEJGEH_01112,HFCAGB_01262,AJBGEP_02054,ODDLKH_02448,OEKLIE_01578,ALJMDI_00316,PAPNPA_00309,BENMGJ_00423,IKCLMC_04197,PKJKAM_04208,ONMMKP_00074
thiD,thiD,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,GEGEGB_00759,LNHIMF_02294,BEJGEH_02180,HFCAGB_02413,AJBGEP_02312,ODDLKH_02647,OEKLIE_03779,ALJMDI_01907,PAPNPA_04284,BENMGJ_02511,IKCLMC_01845,PKJKAM_03985,ONMMKP_04694
